,address,latitude,longitude
125,94C BEDOK NTH AVE 4,1.333614296,103.9426283
126,22 SIN MING RD,1.357284441,103.83939670000001
127,407 SIN MING AVE,1.363453206,103.8342146
128,105 BISHAN ST 12,1.3458949359999999,103.84736529999999
129,167 BISHAN ST 13,1.347252245,103.8554647
130,167 BISHAN ST 13,1.3480034109999999,103.8553957
131,111 BISHAN ST 12,1.3470675269999999,103.8480637
132,181 BISHAN ST 13,1.349138096,103.8528785
133,166 BISHAN ST 13,1.348863451,103.85522579999999
134,109 BISHAN ST 12,1.346750596,103.8479902
135,115 BISHAN ST 12,1.3479183890000002,103.84875009999999
136,181 BISHAN ST 13,1.349138096,103.8528785
137,260 BISHAN ST 22,1.3596137680000002,103.8421874
138,275A BISHAN ST 24,1.35673539,103.8435198
139,214 BISHAN ST 23,1.357511897,103.8483034
140,182 BISHAN ST 13,1.350205825,103.85304920000002
141,448 BRIGHT HILL DR,1.35840617,103.8314316
142,402 SIN MING AVE,1.362768866,103.8327589
143,128 BISHAN ST 12,1.34608832,103.85046679999999
144,303 SHUNFU RD,1.349769429,103.8384765
145,275A BISHAN ST 24,1.35673539,103.8435198
146,231 BISHAN ST 23,1.357468051,103.84643270000001
147,134 BISHAN ST 12,1.345411048,103.8520798
148,342 BT BATOK ST 34,1.362583231,103.74857490000001
149,530 BT BATOK ST 51,1.3561819919999998,103.7510934
150,145 BT BATOK ST 11,1.349973055,103.7437249
151,528 BT BATOK ST 51,1.3566514680000001,103.7510918
152,537 BT BATOK ST 52,1.355115164,103.7508779
153,213 BT BATOK ST 21,1.346818455,103.7524969
154,219 BT BATOK ST 21,1.347207298,103.7549997
155,235 BT BATOK EAST AVE 5,1.348483521,103.7563004
156,130 BT BATOK WEST AVE 6,1.35106126,103.7458574
157,212 BT BATOK ST 21,1.347192811,103.7522173
158,346 BT BATOK ST 34,1.362471404,103.7505611
159,219 BT BATOK ST 21,1.347207298,103.7549997
160,226 BT BATOK CTRL,1.3487333780000001,103.7531743
161,247 BT BATOK EAST AVE 5,1.349969437,103.7564978
162,169 BT BATOK WEST AVE 8,1.346607336,103.7409093
163,154 BT BATOK ST 11,1.3477355830000002,103.743984
164,260 BT BATOK EAST AVE 4,1.3509125919999998,103.75902109999998
165,360 BT BATOK ST 31,1.3610670480000002,103.7506254
166,217 BT BATOK ST 21,1.3467339219999999,103.7547278
167,178 BT BATOK WEST AVE 8,1.346054606,103.7426059
168,169 BT BATOK WEST AVE 8,1.346607336,103.7409093
169,265 BT BATOK EAST AVE 4,1.3500084019999998,103.75986280000001
170,134 BT BATOK WEST AVE 6,1.35159087,103.74450959999999
171,301 BT BATOK ST 31,1.356769427,103.74877430000001
172,537 BT BATOK ST 52,1.355115164,103.7508779
173,289E BT BATOK ST 25,1.3441702930000001,103.7594314
174,244 BT BATOK EAST AVE 5,1.3491826980000001,103.7572392
175,248 BT BATOK EAST AVE 5,1.350258841,103.7566047
176,290D BT BATOK EAST AVE 3,1.3444115030000001,103.7574615
177,395 BT BATOK WEST AVE 5,1.366316899,103.75228759999999
178,642 BT BATOK CTRL,1.349006479,103.7517067
179,185 BT BATOK WEST AVE 6,1.347081585,103.744924
180,106 BT BATOK CTRL,1.348222309,103.74718850000001
181,210 BT BATOK ST 21,1.345480082,103.7499561
182,386 BT BATOK WEST AVE 5,1.3639394219999998,103.75255600000001
183,394 BT BATOK WEST AVE 5,1.3664231119999999,103.7526886
184,190 BT BATOK WEST AVE 6,1.34538562,103.7460455
185,206 BT BATOK ST 21,1.346671926,103.7493835
186,211 BT BATOK ST 21,1.346802134,103.7503002
187,391 BT BATOK WEST AVE 5,1.365853749,103.7527285
188,205 BT BATOK ST 21,1.3471217290000002,103.7500573
189,193 BT BATOK WEST AVE 6,1.3460089430000002,103.74442359999999
190,624 BT BATOK CTRL,1.3513414609999999,103.74950859999998
191,290A BT BATOK ST 24,1.343178552,103.7565485
192,141 BT BATOK ST 11,1.3504417180000001,103.743212
193,120 BT BATOK CTRL,1.3510594269999998,103.7477123
194,289A BT BATOK ST 25,1.3444898090000001,103.7605172
195,10 JLN BT HO SWEE,1.28745837,103.83267579999999
196,2 JLN BT HO SWEE,1.28728822,103.831873
197,45 TELOK BLANGAH DR,1.271757071,103.80956040000001
198,36 BEO CRES,1.288300791,103.8271804
199,20 TELOK BLANGAH CRES,1.276915948,103.82181870000001
200,16 TAMAN HO SWEE,1.288001696,103.8316146
201,32 TELOK BLANGAH RISE,1.273131053,103.8216629
202,33 TELOK BLANGAH WAY,1.2743619640000001,103.822184
203,142 JLN BT MERAH,1.277008235,103.8280562
204,131 JLN BT MERAH,1.280189419,103.82817840000001
205,30 JLN KLINIK,1.287669769,103.82820290000001
206,63 TELOK BLANGAH HTS,1.274831282,103.8109414
207,142 JLN BT MERAH,1.277008235,103.8280562
208,61 TELOK BLANGAH HTS,1.2757050079999999,103.8120071
209,116 BT MERAH VIEW,1.285134271,103.82153220000001
210,131 JLN BT MERAH,1.280189419,103.82817840000001
211,44 TELOK BLANGAH DR,1.271408833,103.8108875
212,24 BEO CRES,1.288525352,103.82845859999999
213,78 INDUS RD,1.291297828,103.8281531
214,55 TELOK BLANGAH DR,1.27396036,103.8121495
215,130 BT MERAH VIEW,1.284587128,103.8243603
216,122 BT MERAH LANE 1,1.2864588190000001,103.8042002
217,80C TELOK BLANGAH ST 31,1.273494356,103.80722940000001
218,50 MOH GUAN TER,1.28407985,103.83052550000001
219,50 MOH GUAN TER,1.28407985,103.83052550000001
220,47 MOH GUAN TER,1.2842058170000001,103.8310634
221,54 HAVELOCK RD,1.289308932,103.8292333
222,101 HENDERSON CRES,1.2907179979999999,103.8216252
223,23 TELOK BLANGAH CRES,1.275768826,103.8207116
224,106 HENDERSON CRES,1.289426079,103.8222768
225,115 BT PURMEI RD,1.275352014,103.8269502
226,108 BT PURMEI RD,1.273357314,103.8253458
227,129 KIM TIAN RD,1.2809759790000002,103.8292622
228,106B DEPOT RD,1.280649504,103.8107509
229,38 JLN RUMAH TINGGI,1.288633659,103.8096439
230,38 JLN RUMAH TINGGI,1.288633659,103.8096439
231,3 DELTA AVE,1.291698335,103.82733449999999
232,134 JLN BT MERAH,1.279256199,103.82720929999999
233,80A TELOK BLANGAH ST 31,1.27368174,103.80657940000002
234,80A TELOK BLANGAH ST 31,1.27368174,103.80657940000002
235,80A TELOK BLANGAH ST 31,1.27368174,103.80657940000002
236,27A JLN MEMBINA,1.282218691,103.8245363
237,75A REDHILL RD,1.288053157,103.81527709999999
238,77A REDHILL RD,1.288381067,103.8173911
239,27A JLN MEMBINA,1.282218691,103.8245363
240,27A JLN MEMBINA,1.282218691,103.8245363
241,57 HAVELOCK RD,1.290138585,103.82845329999999
242,80A TELOK BLANGAH ST 31,1.27368174,103.80657940000002
243,106 HENDERSON CRES,1.289426079,103.8222768
244,106B DEPOT RD,1.280649504,103.8107509
245,48 LENGKOK BAHRU,1.287277396,103.8109636
246,35 JLN RUMAH TINGGI,1.287693947,103.8089335
247,46 LENGKOK BAHRU,1.287077496,103.81270579999999
248,67 TELOK BLANGAH DR,1.274636589,103.8096328
249,87 ZION RD,1.2906598059999999,103.8326083
250,1 DELTA AVE,1.292075251,103.82858409999999
251,214 PETIR RD,1.3749411009999999,103.7748564
252,123 PENDING RD,1.377566635,103.77066059999999
253,249 BANGKIT RD,1.381002047,103.77405470000001
254,458 SEGAR RD,1.388043942,103.7710676
255,506 JELAPANG RD,1.387033455,103.76812070000001
256,621 SENJA RD,1.3860210609999999,103.7628543
257,402 FAJAR RD,1.3803122630000002,103.7680736
258,419 FAJAR RD,1.383945101,103.7696137
259,526 JELAPANG RD,1.3854586290000002,103.7652187
260,623 SENJA RD,1.3862561009999999,103.76220129999999
261,128 PENDING RD,1.3759951119999998,103.7697662
262,204 PETIR RD,1.373175165,103.7748106
263,473 SEGAR RD,1.388237313,103.7721445
264,237 BT PANJANG RING RD,1.3785675609999999,103.7706474
265,473 SEGAR RD,1.388237313,103.7721445
266,539 BT PANJANG RING RD,1.382941791,103.7632483
267,516 JELAPANG RD,1.3873519380000001,103.7670418
268,217 PETIR RD,1.374180984,103.77439809999998
269,218 PETIR RD,1.37446598,103.7736063
270,517 JELAPANG RD,1.388036222,103.76670779999999
271,652 SENJA LINK,1.387448623,103.7638472
272,624 SENJA RD,1.3862434030000002,103.76183759999999
273,539 BT PANJANG RING RD,1.382941791,103.7632483
274,629 SENJA RD,1.386528024,103.759279
275,455 SEGAR RD,1.3875673569999998,103.7712122
276,176 LOMPANG RD,1.3792452990000001,103.7658816
277,418 FAJAR RD,1.384319661,103.76886590000001
278,484 SEGAR RD,1.38840059,103.77188220000001
279,140 PETIR RD,1.3755029909999998,103.7689524
280,152 GANGSA RD,1.375521825,103.7654385
281,537 BT PANJANG RING RD,1.3841162790000001,103.7628642
282,401 FAJAR RD,1.380554321,103.7687304
283,242 BT PANJANG RING RD,1.3800720880000001,103.7718336
284,613 BT PANJANG RING RD,1.384236786,103.7618809
285,654 SENJA RD,1.3875559309999999,103.7642821
286,536 JELAPANG RD,1.3842218309999998,103.76376690000001
287,154 GANGSA RD,1.374816801,103.7651093
288,154 GANGSA RD,1.374816801,103.7651093
289,154 GANGSA RD,1.374816801,103.7651093
290,174 LOMPANG RD,1.380215441,103.7663022
291,177 LOMPANG RD,1.380669849,103.7649552
292,606 SENJA RD,1.3812957469999998,103.7615713
293,650 SENJA LINK,1.38691071,103.7633102
294,228 PENDING RD,1.375346635,103.7709554
295,151 PETIR RD,1.377129628,103.7661712
296,4 TOH YI DR,1.3385120670000001,103.7745698
297,5 FARRER RD,1.31655991,103.8072881
298,15 TOH YI DR,1.339310858,103.7720515
299,9 JLN KUKOH,1.287674258,103.83885790000001
300,640 ROWELL RD,1.307435479,103.85471390000001
301,264 WATERLOO ST,1.299009418,103.8522849
302,32 NEW MKT RD,1.284858608,103.8425788
303,5 TG PAGAR PLAZA,1.27624052,103.8430061
304,271 QUEEN ST,1.300932673,103.85399100000001
305,271 QUEEN ST,1.300932673,103.85399100000001
306,232 BAIN ST,1.296853111,103.8533475
307,1C CANTONMENT RD,1.277449094,103.8416667
308,1F CANTONMENT RD,1.275986995,103.84119179999999
309,1F CANTONMENT RD,1.275986995,103.84119179999999
310,1B CANTONMENT RD,1.277799407,103.8414034
311,111 TECK WHYE LANE,1.3778790459999999,103.7521037
312,111 TECK WHYE LANE,1.3778790459999999,103.7521037
313,114 TECK WHYE LANE,1.3785079919999998,103.7507074
314,460 CHOA CHU KANG AVE 4,1.377822649,103.7350124
315,121 TECK WHYE LANE,1.378303571,103.75010809999999
316,404 CHOA CHU KANG AVE 3,1.3801296490000001,103.7388888
317,692B CHOA CHU KANG CRES,1.40067816,103.7513772
318,115 TECK WHYE LANE,1.37893678,103.7511824
319,422 CHOA CHU KANG AVE 4,1.382256818,103.7409574
320,680 CHOA CHU KANG CRES,1.4033361080000002,103.7451317
321,771 CHOA CHU KANG ST 54,1.3942676580000002,103.7493193
322,229 CHOA CHU KANG CTRL,1.3806537490000002,103.74636729999999
323,237 CHOA CHU KANG CTRL,1.3794475030000002,103.74828740000001
324,157 JLN TECK WHYE,1.379187865,103.7567829
325,416 CHOA CHU KANG AVE 4,1.383340496,103.7420833
326,414 CHOA CHU KANG AVE 4,1.382166605,103.7422483
327,239 CHOA CHU KANG CTRL,1.379448772,103.7475484
328,404 CHOA CHU KANG AVE 3,1.3801296490000001,103.7388888
329,423 CHOA CHU KANG AVE 4,1.3820241469999999,103.74031070000001
330,621 CHOA CHU KANG ST 62,1.399146409,103.7472052
331,657 CHOA CHU KANG CRES,1.400445995,103.7498724
332,418 CHOA CHU KANG AVE 4,1.382373008,103.74135229999999
333,608 CHOA CHU KANG ST 62,1.398467599,103.7446458
334,412 CHOA CHU KANG AVE 3,1.381809725,103.7423816
335,635 CHOA CHU KANG NTH 6,1.3973709419999998,103.74960290000001
336,353 CHOA CHU KANG CTRL,1.382137071,103.7433975
337,412 CHOA CHU KANG AVE 3,1.381809725,103.7423816
338,353 CHOA CHU KANG CTRL,1.382137071,103.7433975
339,453 CHOA CHU KANG AVE 4,1.379978028,103.73490600000001
340,689A CHOA CHU KANG DR,1.402989014,103.75032009999998
341,692A CHOA CHU KANG CRES,1.400209214,103.75127140000001
342,689B CHOA CHU KANG DR,1.4031348280000002,103.7497931
343,760 CHOA CHU KANG NTH 5,1.3930271269999999,103.7472725
344,544 CHOA CHU KANG ST 52,1.393717376,103.7437625
345,690A CHOA CHU KANG CRES,1.402776276,103.75153990000001
346,474 CHOA CHU KANG AVE 3,1.3786388840000001,103.7379059
347,248 CHOA CHU KANG AVE 2,1.379004596,103.745926
348,626 CHOA CHU KANG ST 62,1.398320829,103.7458781
349,789 CHOA CHU KANG NTH 6,1.39587445,103.7491625
350,671 CHOA CHU KANG CRES,1.4025550180000002,103.74802170000001
351,296B CHOA CHU KANG AVE 2,1.376847726,103.741509
352,604 CHOA CHU KANG ST 62,1.397442869,103.7451372
353,663 CHOA CHU KANG CRES,1.4019847509999999,103.7507884
354,101 TECK WHYE LANE,1.3778896459999999,103.75423990000002
355,715 CLEMENTI WEST ST 2,1.303153603,103.7619437
356,715 CLEMENTI WEST ST 2,1.303153603,103.7619437
357,702 WEST COAST RD,1.307266926,103.76110770000001
358,607 CLEMENTI WEST ST 1,1.304235925,103.7678534
359,374 CLEMENTI AVE 4,1.3191261859999999,103.76698370000001
360,346 CLEMENTI AVE 5,1.317016551,103.7700552
361,109 CLEMENTI ST 11,1.321980677,103.77077609999999
362,339 CLEMENTI AVE 5,1.319663167,103.76913979999999
363,351 CLEMENTI AVE 2,1.31535007,103.7708614
364,334 CLEMENTI AVE 2,1.315185027,103.7684327
365,702 WEST COAST RD,1.307266926,103.76110770000001
366,305 CLEMENTI AVE 4,1.322061089,103.766014
367,364 CLEMENTI AVE 2,1.312406419,103.76875229999999
368,371 CLEMENTI AVE 4,1.320574657,103.76821190000001
369,449 CLEMENTI AVE 3,1.313615679,103.76481
370,418 CLEMENTI AVE 1,1.310175719,103.7700032
371,730 CLEMENTI WEST ST 2,1.304777153,103.763122
372,716 CLEMENTI WEST ST 2,1.301917877,103.76307340000001
373,709 CLEMENTI WEST ST 2,1.3053304620000001,103.7620036
374,611 CLEMENTI WEST ST 1,1.303697399,103.76947690000002
375,716 CLEMENTI WEST ST 2,1.301917877,103.76307340000001
376,348 CLEMENTI AVE 5,1.316777163,103.77089709999998
377,411 C'WEALTH AVE WEST,1.310879202,103.76957259999999
378,324 CLEMENTI AVE 5,1.315135091,103.76605450000001
379,307 CLEMENTI AVE 4,1.321415897,103.7671055
380,461 CLEMENTI AVE 3,1.311099155,103.7663995
381,723 CLEMENTI WEST ST 2,1.30310124,103.7634131
382,724 CLEMENTI WEST ST 2,1.30360871,103.76335909999999
383,46 CIRCUIT RD,1.326154695,103.88604699999999
384,43 CIRCUIT RD,1.326482283,103.8855449
385,30 BALAM RD,1.329654615,103.88718359999999
386,21 BALAM RD,1.3311972140000001,103.8869767
387,22 BALAM RD,1.330166195,103.8877853
388,47 CIRCUIT RD,1.325775271,103.8857036
389,67 CIRCUIT RD,1.3258485759999998,103.8879265
390,82 MACPHERSON LANE,1.331897348,103.8856958
391,37 CIRCUIT RD,1.328174693,103.88648420000001
392,24 BALAM RD,1.33018852,103.88750870000001
393,65 CIRCUIT RD,1.327226372,103.8869239
394,49 CIRCUIT RD,1.325132403,103.8856108
395,30 BALAM RD,1.329654615,103.88718359999999
396,24 EUNOS CRES,1.323779951,103.9023304
397,67 CIRCUIT RD,1.3258485759999998,103.8879265
398,302 UBI AVE 1,1.33002587,103.9009954
399,4 HAIG RD,1.3121012440000002,103.8971871
400,95 OLD AIRPORT RD,1.3084047779999999,103.8873475
401,36 CIRCUIT RD,1.3290260790000001,103.8869308
402,10 HAIG RD,1.309953699,103.89707390000001
403,128 GEYLANG EAST AVE 1,1.318309195,103.887754
404,33 EUNOS CRES,1.320183255,103.90080490000001
405,344 UBI AVE 1,1.326359384,103.8997531
406,40 SIMS DR,1.31747603,103.8763541
407,54 PIPIT RD,1.32385645,103.8875854
408,42 SIMS DR,1.317000196,103.8759946
409,42 CIRCUIT RD,1.327467457,103.8862151
410,120 GEYLANG EAST CTRL,1.318211531,103.88475229999999
411,5 HAIG RD,1.312589174,103.8965912
412,134 GEYLANG EAST AVE 1,1.315993889,103.886009
