id,name,type,inc_crc,fmel_upd_d,longitude,latitude,altitude
kml_1537,20,Contour_250K,82A206153687CD2E,2.02E+13,103.7964654,1.44182163,0
kml_1538,20,Contour_250K,A9B9F723BE7DF6B1,2.02E+13,103.8281409,1.441815138,0
kml_1539,20,Contour_250K,C8FE87DAF4C268DF,2.02E+13,103.7965103,1.441741334,0
kml_1540,20,Contour_250K,12D71FD52FF35F5F,2.02E+13,103.7960161,1.44168384,0
kml_1541,20,Contour_250K,F14588AE476C7F0D,2.02E+13,103.79669,1.441701479,0
kml_1542,20,Contour_250K,D01C3B17CEE79C7F,2.02E+13,103.796061,1.441550742,0
kml_1543,20,Contour_250K,90B4440F1B552F68,2.02E+13,103.7962856,1.441550122,0
kml_1544,20,Contour_250K,76319F5275460749,2.02E+13,103.7966451,1.441566571,0
kml_1545,20,Contour_250K,E93D938CBC511632,2.02E+13,103.7974089,1.441550786,0
kml_1546,20,Contour_250K,BE46207D73F77C25,2.02E+13,103.7881533,1.441507395,0
kml_1547,20,Contour_250K,1C64B50A116F3F78,2.02E+13,103.7963755,1.441465224,0
kml_1548,20,Contour_250K,7124AE0A6D380C14,2.02E+13,103.7881084,1.441369669,0
kml_1549,20,Contour_250K,7666B289D24AA26B,2.02E+13,103.7880186,1.441306033,0
kml_1550,20,Contour_250K,0E76D55C2EF08405,2.02E+13,103.7972741,1.441331849,0
kml_1551,20,Contour_250K,F7F2E1A381F45A8E,2.02E+13,103.7966002,1.441283146,0
kml_1552,20,Contour_250K,ED11E437336798A0,2.02E+13,103.7957016,1.441228043,0
kml_1553,20,Contour_250K,3DD93F9E8EAD79BD,2.02E+13,103.796735,1.44114318,0
kml_1554,20,Contour_250K,36DCB8438A1AD0FC,2.02E+13,103.7884229,1.441084791,0
kml_1555,20,Contour_250K,178940FC085B9281,2.02E+13,103.816549,1.441041377,0
kml_1556,20,Contour_250K,AF18F87EEAADE1AB,2.02E+13,103.788378,1.440995322,0
kml_1557,20,Contour_250K,8DE95870170075E7,2.02E+13,103.8302976,1.456081918,0
kml_1558,20,Contour_250K,E9B65D7D43ACCFCE,2.02E+13,103.8303425,1.455990757,0
kml_1559,20,Contour_250K,6E457689A9574DCC,2.02E+13,103.8322295,1.455981717,0
kml_1560,20,Contour_250K,64C5B6648617E7CD,2.02E+13,103.8211767,1.454799094,0
kml_1561,20,Contour_250K,9128DBC956A6413B,2.02E+13,103.7942636,1.453676874,0
kml_1562,40,Contour_250K,F71C5D85FB8EB273,2.02E+13,103.787569,1.453218033,0
kml_1563,20,Contour_250K,BB4F091563B3245F,2.02E+13,103.7931404,1.453174923,0
kml_1564,40,Contour_250K,C754CE9C63BE8CE4,2.02E+13,103.787569,1.453139384,0
kml_1565,40,Contour_250K,FF0594FBB6BB3458,2.02E+13,103.7861762,1.453090116,0
kml_1566,20,Contour_250K,FB69611C58D42636,2.02E+13,103.7930056,1.453090909,0
kml_1567,20,Contour_250K,9823F477C47D08A5,2.02E+13,103.7819528,1.452595268,0
kml_1568,20,Contour_250K,7EE5E61A6D2D4F60,2.02E+13,103.7915678,1.452413355,0
kml_1569,20,Contour_250K,43948790E168B7C7,2.02E+13,103.7890967,1.451830037,0
kml_1570,20,Contour_250K,92B044136D193D81,2.02E+13,103.8253103,1.451242387,0
kml_1571,20,Contour_250K,B1DE72FB4059927F,2.02E+13,103.7751235,1.449820891,0
kml_1572,40,Contour_250K,6D0D2D61F339C330,2.02E+13,103.7860415,1.449557635,0
kml_1573,20,Contour_250K,6BA6B876114D43A5,2.02E+13,103.7761119,1.449519651,0
kml_1574,40,Contour_250K,88A69473AC412407,2.02E+13,103.7860415,1.449454536,0
kml_1575,20,Contour_250K,F49EBD3089FCE5CF,2.02E+13,103.7910287,1.44902405,0
kml_1576,20,Contour_250K,E36F93FA4763D13C,2.02E+13,103.7744945,1.448382322,0
kml_1577,20,Contour_250K,1D242BF436945AC3,2.02E+13,103.7744496,1.448346326,0
kml_1578,20,Contour_250K,68CCB909626CF5B4,2.02E+13,103.7851878,1.448019901,0
kml_1579,20,Contour_250K,D4EB1EA42FEEBAEA,2.02E+13,103.7849183,1.447713083,0
kml_1580,20,Contour_250K,5146745A814F5FA2,2.02E+13,103.7846936,1.447625948,0
kml_1581,20,Contour_250K,E7C484EA66808974,2.02E+13,103.7740003,1.447580198,0
kml_1582,40,Contour_250K,03631E5E60F481F5,2.02E+13,103.7886025,1.447445142,0
kml_1583,20,Contour_250K,1C9429A4F7C00962,2.02E+13,103.7736408,1.446990183,0
kml_1584,20,Contour_250K,70134AA6C05746CC,2.02E+13,103.8242769,1.446313491,0
kml_1585,40,Contour_250K,9FF21E790A780E04,2.02E+13,103.7866256,1.445906696,0
kml_1586,20,Contour_250K,04B31A20A2E5BE6D,2.02E+13,103.7720683,1.445704967,0
kml_1587,20,Contour_250K,A0F95F21FB1FB3F7,2.02E+13,103.7880185,1.44570284,0
kml_1588,20,Contour_250K,F60A1D33A491F655,2.02E+13,103.7839748,1.445308783,0
kml_1589,20,Contour_250K,368563ED7802D09C,2.02E+13,103.7841994,1.445120176,0
kml_1590,20,Contour_250K,677371EA1B432CF6,2.02E+13,103.7914781,1.445046824,0
kml_1591,20,Contour_250K,4F501442110840A6,2.02E+13,103.7910737,1.444817786,0
kml_1592,20,Contour_250K,C6DB6C945F43DF05,2.02E+13,103.7908041,1.444602517,0
kml_1593,20,Contour_250K,1AF4532A28BCBDED,2.02E+13,103.7907592,1.444518599,0
kml_1594,20,Contour_250K,723AF45913A2F92F,2.02E+13,103.7903099,1.444447402,0
kml_1595,20,Contour_250K,4A1D88FC47400CE8,2.02E+13,103.7905346,1.444461214,0
kml_1596,20,Contour_250K,38C94D1ED3056555,2.02E+13,103.7907592,1.444382663,0
kml_1597,20,Contour_250K,C1919F678B432629,2.02E+13,103.7978132,1.444310106,0
kml_1598,20,Contour_250K,52A28B4E8B3C336A,2.02E+13,103.7968697,1.444185266,0
kml_1599,20,Contour_250K,01F033B6BF352035,2.02E+13,103.791523,1.44413178,0
kml_1600,20,Contour_250K,047B0E951D26F03F,2.02E+13,103.7831661,1.444044191,0
kml_1601,20,Contour_250K,4276A733D173AAB6,2.02E+13,103.7969146,1.444031458,0
kml_1602,20,Contour_250K,187A3562C818D87F,2.02E+13,103.7973639,1.444002078,0
kml_1603,20,Contour_250K,2CA046F43A54DA8A,2.02E+13,103.7962407,1.443961966,0
kml_1604,20,Contour_250K,9376D4FEE6706E72,2.02E+13,103.7949377,1.443913693,0
kml_1605,20,Contour_250K,2B2A209F1B70E678,2.02E+13,103.7961059,1.443854679,0
kml_1606,20,Contour_250K,F240C7E53D3143E3,2.02E+13,103.7972741,1.443872728,0
kml_1607,20,Contour_250K,2CCC19A76FB70389,2.02E+13,103.7943986,1.443801729,0
kml_1608,20,Contour_250K,926A0A96A78921EE,2.02E+13,103.7939942,1.443773375,0
kml_1609,20,Contour_250K,08150AA0B30B70DB,2.02E+13,103.794084,1.443678094,0
kml_1610,20,Contour_250K,D749703DCFEC773F,2.02E+13,103.7945333,1.443681339,0
kml_1611,20,Contour_250K,08EAE891E8B9535B,2.02E+13,103.7864909,1.443563518,0
kml_1612,20,Contour_250K,599EEC389BDE2137,2.02E+13,103.7951174,1.443541494,0
kml_1613,20,Contour_250K,EF8CE88BC6D95275,2.02E+13,103.797948,1.443536749,0
kml_1614,20,Contour_250K,7426787189EA405F,2.02E+13,103.7959711,1.443510362,0
kml_1615,20,Contour_250K,BAE044487480BFE5,2.02E+13,103.7978582,1.443448601,0
kml_1616,20,Contour_250K,B4C4CA36750404F7,2.02E+13,103.7894563,1.443406658,0
kml_1617,20,Contour_250K,22E246F334C624C6,2.02E+13,103.7976335,1.443418518,0
kml_1618,20,Contour_250K,217441A392DA3B6D,2.02E+13,103.7979031,1.443282865,0
kml_1619,20,Contour_250K,A206197318323602,2.02E+13,103.7991611,1.443058455,0
kml_1620,20,Contour_250K,C432DB70415BCB35,2.02E+13,103.795387,1.44300297,0
kml_1621,20,Contour_250K,0D170A9BE61CD82F,2.02E+13,103.7976335,1.443000951,0
kml_1622,20,Contour_250K,4BCEC96F359DE2C4,2.02E+13,103.7991611,1.442954724,0
kml_1623,20,Contour_250K,F5465C953FB1AAE2,2.02E+13,103.7946681,1.442918028,0
kml_1624,20,Contour_250K,4BB6AC6627E5C282,2.02E+13,103.7954769,1.442911238,0
kml_1625,20,Contour_250K,C0B45CC9DC5BDB58,2.02E+13,103.7974089,1.442919414,0
kml_1626,20,Contour_250K,45AD1F445262977E,2.02E+13,103.7984872,1.442901094,0
kml_1627,20,Contour_250K,F221C96D5233E3C7,2.02E+13,103.7950276,1.442863835,0
kml_1628,20,Contour_250K,F8D598D60B99C670,2.02E+13,103.7979031,1.442878559,0
kml_1629,20,Contour_250K,34D9978D40E8B26C,2.02E+13,103.7948928,1.442779899,0
kml_1630,20,Contour_250K,09D00280BC075B13,2.02E+13,103.7978582,1.442779105,0
kml_1631,20,Contour_250K,96924B9C8B21C045,2.02E+13,103.7899056,1.442729683,0
kml_1632,20,Contour_250K,626426AE6446C578,2.02E+13,103.794758,1.442726829,0
kml_1633,20,Contour_250K,3FAD6FD4996E5C77,2.02E+13,103.7977683,1.442719341,0
kml_1634,20,Contour_250K,9DED955E670115F6,2.02E+13,103.7897705,1.457886529,0
kml_1635,20,Contour_250K,23F68E21ACABDC0F,2.02E+13,103.8346108,1.457478887,0
kml_1636,20,Contour_250K,6AA2560184E8149B,2.02E+13,103.7927359,1.456569452,0
kml_1637,20,Contour_250K,9E4B0C33421D7BCE,2.02E+13,103.7980379,1.44272009,0
kml_1638,20,Contour_250K,28ECD84C48AC7627,2.02E+13,103.7893215,1.442680421,0
kml_1639,20,Contour_250K,0E9455EFC585EB16,2.02E+13,103.7895461,1.442687814,0
kml_1640,20,Contour_250K,D2083BD1E32AE27A,2.02E+13,103.7897708,1.442692143,0
kml_1641,20,Contour_250K,D9652C931695F115,2.02E+13,103.7949827,1.442648314,0
kml_1642,20,Contour_250K,DCC5B4B29A001CB2,2.02E+13,103.7985771,1.44263423,0
kml_1643,20,Contour_250K,E06AAE2DF2CF28E4,2.02E+13,103.7975886,1.442584688,0
kml_1644,20,Contour_250K,DFDB5DE703EA9B7D,2.02E+13,103.797948,1.442587644,0
kml_1645,20,Contour_250K,5732533A2142F654,2.02E+13,103.7957015,1.442516099,0
kml_1646,20,Contour_250K,41E21BF3EBC8E91D,2.02E+13,103.7952073,1.442464205,0
kml_1647,20,Contour_250K,E9C82074BBE169C7,2.02E+13,103.7901752,1.442382195,0
kml_1648,20,Contour_250K,8D7B86BF51B95C24,2.02E+13,103.7895462,1.442365728,0
kml_1649,20,Contour_250K,FF90D6B9E6B0D537,2.02E+13,103.7896809,1.442373768,0
kml_1650,20,Contour_250K,9DD4C4D49DA671E0,2.02E+13,103.7950725,1.442371075,0
kml_1651,20,Contour_250K,4C4192636CC6380A,2.02E+13,103.7892316,1.442261315,0
kml_1652,20,Contour_250K,D1F565E8B1D7B085,2.02E+13,103.7969596,1.442284399,0
kml_1653,20,Contour_250K,0FAB0F4C14FBC91B,2.02E+13,103.7955218,1.442226958,0
kml_1654,20,Contour_250K,1D6D79036103CD8B,2.02E+13,103.795387,1.442136224,0
kml_1655,20,Contour_250K,F8EE0906090882BE,2.02E+13,103.7955218,1.442063613,0
kml_1656,20,Contour_250K,E5216DE6731B25C9,2.02E+13,103.7960161,1.441961914,0
kml_1657,20,Contour_250K,724966020DD88329,2.02E+13,103.7712597,1.441836195,0
kml_1658,20,Contour_250K,B0275D536ED8BB3D,2.02E+13,103.7963756,1.437760195,0
kml_1659,20,Contour_250K,77355BFF0D5ABA6D,2.02E+13,103.8112923,1.437677948,0
kml_1660,20,Contour_250K,5BB72D6E45EAFAF3,2.02E+13,103.8133141,1.437660996,0
kml_1661,20,Contour_250K,B81B8A1F8588B25C,2.02E+13,103.813404,1.437631897,0
kml_1662,20,Contour_250K,D322640E7AFF722D,2.02E+13,103.8134489,1.437565477,0
kml_1663,20,Contour_250K,B9241DE0BC2E12D6,2.02E+13,103.7978133,1.437532769,0
kml_1664,20,Contour_250K,55BB3CA0988E5E74,2.02E+13,103.8134938,1.437515035,0
kml_1665,20,Contour_250K,FD19C48DD3A0260D,2.02E+13,103.7876592,1.437472648,0
kml_1666,20,Contour_250K,F7A17CB2943A33EA,2.02E+13,103.7823125,1.437432477,0
kml_1667,20,Contour_250K,5B2A42B29E066D19,2.02E+13,103.8131344,1.437383821,0
kml_1668,20,Contour_250K,8C98D08977A6F95E,2.02E+13,103.7068755,1.437325932,0
kml_1669,20,Contour_250K,010CB1E8B64C8F12,2.02E+13,103.7983974,1.43732925,0
kml_1670,20,Contour_250K,01E4F437E66E134C,2.02E+13,103.7074147,1.437258038,0
kml_1671,20,Contour_250K,155295A0769CDD0A,2.02E+13,103.7822227,1.437253899,0
kml_1672,20,Contour_250K,1B66958A49BAA6A8,2.02E+13,103.7735512,1.437176156,0
kml_1673,20,Contour_250K,6CDA8C7B7B984C72,2.02E+13,103.7736411,1.437175054,0
kml_1674,20,Contour_250K,317B5910C4EC5FD1,2.02E+13,103.8131793,1.437169443,0
kml_1675,20,Contour_250K,F3998815B09F1D05,2.02E+13,103.8132692,1.43701643,0
kml_1676,20,Contour_250K,8126B952BDD0D8CC,2.02E+13,103.8176723,1.437000404,0
kml_1677,20,Contour_250K,5FD73E76A3C8FB42,2.02E+13,103.787165,1.436952715,0
kml_1678,20,Contour_250K,8D35D40F48FD7078,2.02E+13,103.7983974,1.436916664,0
kml_1679,20,Contour_250K,B8CB17F467C683D4,2.02E+13,103.7870751,1.436907958,0
kml_1680,20,Contour_250K,B831C6DBD289F35D,2.02E+13,103.7990714,1.436900283,0
kml_1681,20,Contour_250K,3E842DD0E048BE5C,2.02E+13,103.799296,1.436886785,0
kml_1682,20,Contour_250K,17ED27EEE4DBE475,2.02E+13,103.7869403,1.436861777,0
kml_1683,20,Contour_250K,398C06D1E9A12928,2.02E+13,103.707235,1.436792247,0
kml_1684,20,Contour_250K,798B17FEC5D67862,2.02E+13,103.7976336,1.436635123,0
kml_1685,20,Contour_250K,66A88FA48851C858,2.02E+13,103.7978583,1.43662202,0
kml_1686,20,Contour_250K,2E7DC5D2F5BD46CA,2.02E+13,103.7994757,1.436606346,0
kml_1687,20,Contour_250K,86FF40AA0C430468,2.02E+13,103.7982626,1.436592473,0
kml_1688,20,Contour_250K,4617AB68A6F18304,2.02E+13,103.7993859,1.436476343,0
kml_1689,20,Contour_250K,D120952549857F2B,2.02E+13,103.7983974,1.436425336,0
kml_1690,20,Contour_250K,AA9B86FEA490564D,2.02E+13,103.7961059,1.44097624,0
kml_1691,20,Contour_250K,3E7BC610B231C97E,2.02E+13,103.7963306,1.440935079,0
kml_1692,20,Contour_250K,7D7B56BE29F8833C,2.02E+13,103.7947131,1.440869831,0
kml_1693,20,Contour_250K,49EE7A66603FDE8A,2.02E+13,103.7958364,1.440861219,0
kml_1694,20,Contour_250K,DA9A1DC7118152A5,2.02E+13,103.7773702,1.440782921,0
kml_1695,20,Contour_250K,8D57B6A21F629D71,2.02E+13,103.7961958,1.440773712,0
kml_1696,20,Contour_250K,C471E26DE63300B4,2.02E+13,103.8122358,1.438943271,0
kml_1697,20,Contour_250K,A98479D7EB00B3AB,2.02E+13,103.813988,1.438904828,0
kml_1698,20,Contour_250K,BB3FB5B8405DDAF1,2.02E+13,103.7067406,1.43888313,0
kml_1699,20,Contour_250K,2D7E30C78C61506B,2.02E+13,103.7073696,1.43887642,0
kml_1700,20,Contour_250K,C3F52E40021DBE16,2.02E+13,103.7787631,1.438749296,0
kml_1701,20,Contour_250K,3C7F2EE2769BAB20,2.02E+13,103.8124604,1.43875886,0
kml_1702,20,Contour_250K,351E683787BA6A18,2.02E+13,103.8137634,1.438763207,0
kml_1703,20,Contour_250K,89493B3ACA0F4EAF,2.02E+13,103.814033,1.438758783,0
kml_1704,20,Contour_250K,F8FFA087CB3F0541,2.02E+13,103.8154707,1.438713124,0
kml_1705,20,Contour_250K,1869791D73219DA9,2.02E+13,103.814662,1.438667606,0
kml_1706,20,Contour_250K,64D47AC0693CEA3D,2.02E+13,103.8154258,1.438645889,0
kml_1707,20,Contour_250K,AB3963EAE15E1B50,2.02E+13,103.8139431,1.438625415,0
kml_1708,20,Contour_250K,02630B5290BE5DD6,2.02E+13,103.8142127,1.43862441,0
kml_1709,20,Contour_250K,F4FFDBE2548FA2B2,2.02E+13,103.7885578,1.438580749,0
kml_1710,20,Contour_250K,2411E616414EC67B,2.02E+13,103.7816835,1.438486162,0
kml_1711,20,Contour_250K,762BEB9AC4413624,2.02E+13,103.7722033,1.438442921,0
kml_1712,20,Contour_250K,2FC1F8AE1A9BB759,2.02E+13,103.8128199,1.438446964,0
kml_1713,20,Contour_250K,BA436E94356C5292,2.02E+13,103.7061116,1.438299359,0
kml_1714,20,Contour_250K,70B27F91C1833B7E,2.02E+13,103.8131793,1.43812917,0
kml_1715,20,Contour_250K,0695F1DF3FA9A997,2.02E+13,103.8132692,1.438082405,0
